time,open,high,low,close,volume
2021-02-08 15:00:00,121.88289824600001,121.927897519,121.685533015,121.754610846,122102
2021-02-08 14:45:00,121.616455185,121.88289824600001,121.54737735399999,121.876385194,192141
2021-02-08 14:30:00,121.428958215,121.65000727399999,121.428958215,121.611521054,80841
2021-02-08 14:15:00,121.409221692,121.56711387700001,121.382281338,121.446523721,109583
2021-02-08 14:00:00,121.42451749799999,121.527640831,121.359880385,121.409221692,100757
2021-02-08 13:45:00,121.606586923,121.641125839,121.310539077,121.428958215,127054
2021-02-08 13:30:00,121.754610846,121.76447910799999,121.46843126200001,121.606586923,188782
2021-02-08 13:15:00,121.725006062,121.793787844,121.626323446,121.71513780000001,88941
2021-02-08 13:00:00,121.655928231,121.823688677,121.557245615,121.754610846,299049
2021-02-08 12:45:00,121.685533015,121.73487432299999,121.488167785,121.655928231,106637
2021-02-08 12:30:00,121.399550796,121.695401277,121.39935343100001,121.695401277,130257
2021-02-08 12:15:00,121.369748646,121.453431504,121.359880385,121.39935343100001,119101
2021-02-08 12:00:00,121.21185646200001,121.46843126200001,121.154719227,121.369748646,98539
2021-02-08 11:45:00,121.276000162,121.37961690799999,121.18225167700001,121.221724723,125813
2021-02-08 11:30:00,120.965149923,121.281921119,120.915808616,121.276000162,110161
2021-02-08 11:15:00,120.91788095,121.131923543,120.905940354,120.965149923,150013
2021-02-08 11:00:00,120.955281662,121.16251515399999,120.856599046,120.920742746,174814
2021-02-08 10:45:00,121.274914653,121.389485169,120.856599046,120.955182979,218820
2021-02-08 10:30:00,121.251329508,121.507904308,121.241461246,121.26119776899999,199740
2021-02-08 10:15:00,121.725006062,121.892766508,121.08356906200001,121.231592985,189336
2021-02-08 10:00:00,121.96184433799999,122.16907783100001,121.481161319,121.675664754,329072
2021-02-08 09:45:00,121.004622969,122.343450012,120.787521216,121.97171259999999,751915
2021-02-08 09:30:00,121.132910369,121.132910369,121.034227754,121.044096016,4139
2021-02-08 09:15:00,121.18225167700001,121.192119939,121.09343732299999,121.09343732299999,4213
2021-02-08 09:00:00,121.28093429200001,121.28093429200001,120.984886446,121.0737008,3249
2021-02-08 08:45:00,121.320407339,121.340143862,121.28093429200001,121.310539077,4791
2021-02-08 08:30:00,121.12304210799999,121.33027560000001,121.053964277,121.33027560000001,5633
2021-02-08 08:15:00,120.49147336899999,121.37961690799999,120.49147336899999,121.37961690799999,20413
2021-02-08 08:00:00,120.836862523,120.87633556899999,120.836862523,120.87633556899999,540
2021-02-08 07:45:00,120.836862523,120.836862523,120.82699426200001,120.82699426200001,506
2021-02-08 07:30:00,120.866467308,120.886203831,120.866467308,120.886203831,1496
2021-02-08 07:15:00,120.757916431,120.87633556899999,120.590155985,120.590155985,2698
2021-02-08 07:00:00,121.369748646,121.369748646,121.369748646,121.369748646,242
2021-02-08 06:45:00,120.886203831,121.034227754,120.886203831,121.034227754,698
2021-02-08 06:30:00,120.767784692,120.886203831,120.767784692,120.886203831,1050
